t,t_knwn,traj_num,x,x_knwn,y,y_knwn,z,z_knwn
1.3801,1.38991145833,3.0,3.13959049709,3.444501,4.52135388826,4.333956,2.59054355432,2.802124
1.3853,1.38991145833,3.0,3.13822425469,3.444501,4.5436663791,4.333956,2.59107846975,2.802124
1.4055,1.38991145833,1.0,2.80143908303,3.060341,5.4370556945,5.451236,2.60253618627,2.809722
1.4662,,,2.68927201231,,5.61200661318,,2.68322524563,
1.4841,1.46991145833,3.0,3.16249842936,3.504923,4.94040374976,4.556067,2.74243970377,3.042946
1.508,1.50991145833,3.0,3.17335216545,3.534262,5.04359583821,4.754229,2.7655392556,3.128542
1.5393,,,2.49984190575,,5.90890563631,,2.71432516191,
1.5636,,,2.4614366304,,5.82380780253,,2.80083177154,
1.6154,,,3.14316046393,,5.46439987702,,2.89558702404,
1.6271,,,2.2839051578,,5.89627638107,,2.87653435646,
1.6333,,,2.32222085395,,5.93466037517,,2.86888083273,
1.6561,,,,,,,,
1.6619,,,,,,,,
1.69,,,3.10062504791,,5.7512884507,,2.97165071234,
1.7099,,,3.0912455835,,5.83134420642,,2.97341185499,
1.7159,,,3.09516007832,,5.84053841403,,2.97379037408,
1.721,,,,,,,,
1.7355,,,,,,,,
1.7442,,,2.38801751723,,5.98708870706,,1.97170634072,
1.7495,,,,,,,,
1.7622,,,3.69866822855,,6.72493360263,,3.51869684586,
1.7702,,,2.97121352055,,6.81866861524,,2.42442841662,
1.7849,,,3.65660656321,,6.75374818829,,3.51796475129,
1.7922,,,,,,,,
1.7979,,,3.03031970342,,6.12608093131,,3.04903129783,
1.8029,,,3.00563501774,,6.16962096384,,3.03928799956,
1.8171,,,2.99234105852,,6.24048251194,,3.04067062314,
1.8244,,,,,,,,
1.8348,,,2.96558461445,,6.3058128208,,3.0514429695,
1.8419,,,2.97020462527,,6.31552924291,,3.03184075939,
1.8593,,,3.50033240828,,6.84381439346,,3.47476212192,
1.8669,,,,,,,,
1.8834,,,3.4497810269,,6.87707526923,,3.45382717543,
1.8884,,,,,,,,
1.8935,,,1.71930642676,,6.95554260664,,1.74318386509,
1.8985,,,,,,,,
1.9048,,,,,,,,
1.9155,,,2.84936360615,,6.57105813181,,3.09431023221,
1.9221,,,2.85499710136,,6.55820095584,,3.08416347126,
1.9271,,,,,,,,
1.9429,,,3.28348238791,,6.91750746798,,3.39896370879,
1.9502,,,2.85379664125,,6.34553527124,,2.97846642547,
1.9656,,,3.21300577445,,6.90453619843,,3.38612653148,
1.9726,,,,,,,,
1.9843,,,,,,,,
1.9912,,,2.01085399713,,6.24860603799,,3.74694051252,
2.0002,,,2.68598442766,,6.80210463159,,3.13461853132,
2.0063,,,2.68765863845,,6.75669632817,,3.16351979425,
2.0178,,,2.65139899395,,6.84904652521,,3.14463383952,
2.0237,,,,,,,,
2.0287,,,3.02150116615,,6.91185453509,,3.33951723037,
2.054,,,2.95357280511,,6.93038996399,,3.32759348758,
2.0709,,,2.53625196639,,6.96255069051,,3.16355384226,
2.0765,,,,,,,,
2.0863,,,,,,,,
2.1063,,,2.45076239331,,7.04249235265,,3.16262456856,
2.1118,,,1.53584944427,,5.87819028846,,4.71144185895,
2.1555,,,,,,,,
2.1626,,,2.19673574299,,6.27117976929,,3.65399750196,
2.1716,,,2.2949199428,,7.16249861276,,3.1802775613,
2.1768,,,,,,,,
2.1845,,,,,,,,
2.1948,,,,,,,,
2.2571,,,2.11611180701,,7.30399352181,,3.17766197573,
2.2728,,,,,,,,
2.2786,,,,,,,,
2.2905,,,2.03726921354,,7.3485044099,,3.17604139025,
2.2973,,,,,,,,
2.3195,,,0.72621908736,,4.72627936932,,3.02117563153,
2.3431,,,,,,,,
2.3596,,,2.13542673324,,7.14686386965,,2.3033981677,
2.3756,,,1.97116472612,,6.44687654234,,3.04003629774,
2.3824,,,1.97406573655,,6.47864434804,,3.03095936766,
2.401,,,1.82648123675,,6.33560811551,,3.01200015866,
2.4085,,,1.85305344845,,6.34640948677,,3.00321107768,
2.4144,,,1.85305344845,,6.34640948677,,3.00321107768,
2.4212,,,,,,,,
2.4281,,,0.594597791895,,4.28555319186,,2.9349418152,
2.4657,,,2.05960888623,,7.27617843095,,2.32412009588,
2.505,,,,,,,,
2.5332,,,0.556816342771,,3.8599276621,,2.83239684693,
2.5518,,,1.76082539866,,7.68829969063,,3.06505497485,
2.569,,,1.71213246045,,7.60002058286,,3.0710380259,
2.6039,,,1.33827011751,,5.69140272779,,2.83778959217,
2.6091,,,1.34355085472,,5.67828444457,,2.83763319582,
2.6337,,,,,,,,
2.6458,,,,,,,,
2.6509,,,1.65503938541,,7.56290160488,,2.9779651391,
2.6899,,,1.64079243814,,7.52716920344,,2.93648960438,
2.7146,,,1.04695237306,,5.23232105519,,2.73542754036,
